"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
0.00348680659826898,0.163538367117909,0.442,0.369,1,"heterozygous","Tmem176b","UP","Tmem176b"
0.00349740621304315,0.21219294170364,0.643,0.606,1,"heterozygous","Amy1","UP","Amy1"
0.00351220442827885,-0.147335004487936,0.758,0.842,1,"heterozygous","Btbd7","DOWN","Btbd7"
0.00351622819026001,0.150376852394831,0.11,0.054,1,"heterozygous","Frem1","UP","Frem1"
0.00354366796218842,0.224157630992799,0.372,0.296,1,"heterozygous","Slc38a6","UP","Slc38a6"
0.00355695055156225,0.155805382877213,0.344,0.254,1,"heterozygous","Cryz","UP","Cryz"
0.00355939476073573,0.247581870634834,0.576,0.53,1,"heterozygous","Ppat","UP","Ppat"
0.00356295722678775,0.168349953768604,0.249,0.175,1,"heterozygous","Ap4m1","UP","Ap4m1"
0.00357305663602647,0.159228573653428,0.524,0.433,1,"heterozygous","Lrrk2","UP","Lrrk2"
0.00359595139326593,0.212433338038706,0.398,0.313,1,"heterozygous","Rps26","UP","Rps26"
0.00359767237285773,0.125789324749951,0.193,0.123,1,"heterozygous","Mrpl30","UP","Mrpl30"
0.0036137486607314,0.177294338563051,0.24,0.163,1,"heterozygous","G6pc","UP","G6pc"
0.00362785212308984,0.310817034398079,0.297,0.217,1,"heterozygous","Sema5a","UP","Sema5a"
0.00363039472736406,-0.140259360322329,0.929,0.966,1,"heterozygous","Faf1","DOWN","Faf1"
0.00365111465549357,-0.12111523832302,0.074,0.133,1,"heterozygous","Gm10767","DOWN","Gm10767"
0.00366796186445706,0.229819775493776,0.435,0.352,1,"heterozygous","Sh3d19","UP","Sh3d19"
0.00367500395013097,0.110202645438629,0.195,0.126,1,"heterozygous","Psmd6","UP","Psmd6"
0.00368858586159651,-0.182552458088784,0.29,0.397,1,"heterozygous","Snx18","DOWN","Snx18"
0.00369272173958759,0.128209601566879,0.175,0.106,1,"heterozygous","Cd24a","UP","Cd24a"
0.00369673948689589,0.183303077356213,0.537,0.448,1,"heterozygous","Tfdp2","UP","Tfdp2"
0.00374683253420724,0.186011728604873,0.831,0.771,1,"heterozygous","Tmem116","UP","Tmem116"
0.00375258443878822,0.166032157065334,0.21,0.138,1,"heterozygous","Klhdc8a","UP","Klhdc8a"
0.00376018585703754,0.137978895118658,0.223,0.148,1,"heterozygous","4930486I03Rik","UP","4930486I03Rik"
0.00376113802518349,-0.133828960603315,0.271,0.369,1,"heterozygous","Rnf20","DOWN","Rnf20"
0.00376327728699789,-0.139544643561092,0.221,0.313,1,"heterozygous","Inpp5j","DOWN","Inpp5j"
0.00376971515116114,0.144352704599724,0.394,0.305,1,"heterozygous","Pecr","UP","Pecr"
0.00378214207758716,-0.161786037176348,0.359,0.458,1,"heterozygous","Mllt6","DOWN","Mllt6"
0.00378803282758963,0.17711861130011,0.346,0.259,1,"heterozygous","Pmpcb","UP","Pmpcb"
0.00378924176505937,0.187627925023661,0.11,0.057,1,"heterozygous","Gucy1a1","UP","Gucy1a1"
0.00381103080624008,0.119625217108534,0.134,0.074,1,"heterozygous","Svip","UP","Svip"
0.00382966469353643,-0.142302564601673,0.056,0.108,1,"heterozygous","Cxcr4","DOWN","Cxcr4"
0.00383164537909256,0.179135549960461,0.766,0.719,1,"heterozygous","Clybl","UP","Clybl"
0.0038360302832042,-0.179787058425952,0.344,0.451,1,"heterozygous","Gcn1","DOWN","Gcn1"
0.00388827816379167,-0.224401534665475,0.53,0.611,1,"heterozygous","Cxadr","DOWN","Cxadr"
0.00389130649667862,-0.137573399914293,0.119,0.19,1,"heterozygous","Slc25a33","DOWN","Slc25a33"
