"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","cell_type"
"Nr1d1",1.27173844045404e-228,-0.156715493100862,0.132,0.282,4.10568038116183e-224,"heterozygous","Nr1d1","excitatory.neurons"
"Ralyl",6.18388307052414e-221,0.312041858749937,0.979,0.977,1.99640481048801e-216,"heterozygous","Ralyl","excitatory.neurons"
"Adcy9",1.56701977744337e-215,-0.301900223736322,0.817,0.899,5.05896664949818e-211,"heterozygous","Adcy9","excitatory.neurons"
"Camkv",1.47387555849808e-212,-0.26349997951963,0.619,0.775,4.75825985305519e-208,"heterozygous","Camkv","excitatory.neurons"
"Hrh3",2.11694953764856e-209,-0.178500379716492,0.111,0.243,6.8343598873446e-205,"heterozygous","Hrh3","excitatory.neurons"
"Nr1d2",9.10955664684217e-208,-0.210520167175617,0.49,0.668,2.94092926786653e-203,"heterozygous","Nr1d2","excitatory.neurons"
"Map1b",2.01657540132108e-207,-0.227503960230746,0.91,0.96,6.51031202562496e-203,"heterozygous","Map1b","excitatory.neurons"
"Brinp1",3.10922737718102e-203,0.341780955244381,0.979,0.976,1.00378296644912e-198,"heterozygous","Brinp1","excitatory.neurons"
"Pnisr",4.01512697138938e-203,0.2088499524989,0.97,0.968,1.29624359144335e-198,"heterozygous","Pnisr","excitatory.neurons"
"Col25a1",5.63633715259245e-202,0.481570350878698,0.432,0.304,1.81963508634295e-197,"heterozygous","Col25a1","excitatory.neurons"
"Slc7a14",1.92237349558268e-201,-0.242476675344561,0.452,0.622,6.20619059313912e-197,"heterozygous","Slc7a14","excitatory.neurons"
"Camk2a",1.05418610478082e-200,-0.241950171085382,0.975,0.984,3.4033344206744e-196,"heterozygous","Camk2a","excitatory.neurons"
"Satb2",5.42289996792785e-200,0.311693972980656,0.9,0.891,1.75072902564583e-195,"heterozygous","Satb2","excitatory.neurons"
"Galnt9",1.278318139872e-199,-0.315456009184545,0.473,0.635,4.12692228276278e-195,"heterozygous","Galnt9","excitatory.neurons"
"Mlip",2.61845009011796e-196,0.348169119750037,0.851,0.806,8.45340427093682e-192,"heterozygous","Mlip","excitatory.neurons"
"Kcnh7",2.43057349484573e-195,0.23086800228188,0.992,0.991,7.84686347075996e-191,"heterozygous","Kcnh7","excitatory.neurons"
"Fgf1",1.06516051471806e-193,0.283535849722325,0.339,0.209,3.43876420571579e-189,"heterozygous","Fgf1","excitatory.neurons"
"Smad3",2.31319353630478e-193,-0.254036784345686,0.391,0.551,7.46791401260636e-189,"heterozygous","Smad3","excitatory.neurons"
"Srrm4",1.01600030338712e-191,-0.254883143130253,0.697,0.821,3.28005537945497e-187,"heterozygous","Srrm4","excitatory.neurons"
"Spns2",1.00443842434878e-190,-0.196695252471672,0.266,0.424,3.24272900916761e-186,"heterozygous","Spns2","excitatory.neurons"
"Kcnip3",3.33757231369574e-189,-0.288677461738317,0.617,0.754,1.07750184575353e-184,"heterozygous","Kcnip3","excitatory.neurons"
"Sik2",1.38666089165023e-187,-0.241622997432965,0.618,0.768,4.4766960226036e-183,"heterozygous","Sik2","excitatory.neurons"
"Lrrn2",3.0609443219154e-187,-0.227291061871001,0.531,0.692,9.88195264887168e-183,"heterozygous","Lrrn2","excitatory.neurons"
"Prkn",1.02375462425763e-186,-0.247166041646473,0.892,0.939,3.30508942895333e-182,"heterozygous","Prkn","excitatory.neurons"
"Ak5",1.66195645369887e-185,-0.292742366546753,0.723,0.833,5.36546021512142e-181,"heterozygous","Ak5","excitatory.neurons"
"Car4",3.49090375321537e-185,-0.18653552116989,0.172,0.31,1.12700336768805e-180,"heterozygous","Car4","excitatory.neurons"
"Rnf150",1.83105026961286e-184,-0.26745396707302,0.785,0.873,5.91136269041816e-180,"heterozygous","Rnf150","excitatory.neurons"
"Pde8b",6.34791435382393e-184,0.331547196613171,0.89,0.874,2.04936066998852e-179,"heterozygous","Pde8b","excitatory.neurons"
"Gfod1",1.54252314864948e-182,-0.237543700144427,0.738,0.859,4.97988173309999e-178,"heterozygous","Gfod1","excitatory.neurons"
"Zfp804b",3.66315375292065e-180,-0.473460421722496,0.276,0.428,1.1826125575929e-175,"heterozygous","Zfp804b","excitatory.neurons"
"Gabrg2",1.23370595785713e-179,0.312826921814461,0.865,0.843,3.98289631434595e-175,"heterozygous","Gabrg2","excitatory.neurons"
"Smpd3",7.23097904859661e-178,-0.21737646251698,0.509,0.664,2.33444927604893e-173,"heterozygous","Smpd3","excitatory.neurons"
"Plcl2",1.59465528130845e-175,-0.252281840435692,0.85,0.92,5.14818511017619e-171,"heterozygous","Plcl2","excitatory.neurons"
"Ube3a",2.41183288435165e-174,0.213181712769895,0.993,0.991,7.78636128384086e-170,"heterozygous","Ube3a","excitatory.neurons"
"Klf9",2.63847532544742e-174,-0.220725650096652,0.546,0.701,8.51805374067447e-170,"heterozygous","Klf9","excitatory.neurons"
"Brinp2",1.27003008945465e-172,-0.238266569269231,0.797,0.88,4.1001651407954e-168,"heterozygous","Brinp2","excitatory.neurons"
"Bhlhe40",9.28727737024999e-172,-0.151954795088799,0.167,0.303,2.99830462621151e-167,"heterozygous","Bhlhe40","excitatory.neurons"
"Bhlhe41",7.38968182477842e-170,-0.125044135756738,0.117,0.239,2.38568488031147e-165,"heterozygous","Bhlhe41","excitatory.neurons"
"Opcml",1.09814986334952e-169,0.214162959317157,0.996,0.996,3.54526701883759e-165,"heterozygous","Opcml","excitatory.neurons"
"Tef",7.89802048592555e-169,-0.202216106451695,0.575,0.728,2.5497969336762e-164,"heterozygous","Tef","excitatory.neurons"
"Fam49b",1.34500005835889e-167,-0.220140538578171,0.835,0.911,4.34219818840584e-163,"heterozygous","Fam49b","excitatory.neurons"
"Negr1",1.51216532486844e-166,-0.267208792471977,0.994,0.996,4.88187453480526e-162,"heterozygous","Negr1","excitatory.neurons"
"Ciart",5.02652463788951e-166,-0.109387667088656,0.078,0.183,1.62276321409625e-161,"heterozygous","Ciart","excitatory.neurons"
"Baiap2",3.35034945587163e-165,-0.237352250191785,0.802,0.892,1.0816268183336e-160,"heterozygous","Baiap2","excitatory.neurons"
"Ptprd",5.27341043978703e-164,-0.185406931092031,0.998,0.999,1.70246782638084e-159,"heterozygous","Ptprd","excitatory.neurons"
"Lyst",1.09037999889285e-162,-0.24360294405253,0.751,0.846,3.52018278842567e-158,"heterozygous","Lyst","excitatory.neurons"
"Galnt17",3.26076960177023e-160,-0.258253303777578,0.621,0.758,1.0527068582355e-155,"heterozygous","Galnt17","excitatory.neurons"
"Anks1",1.81288750323397e-159,-0.194153708699725,0.402,0.559,5.85272601544055e-155,"heterozygous","Anks1","excitatory.neurons"
"Adam2",8.36897152438663e-159,0.304311105345816,0.339,0.217,2.70183876693298e-154,"heterozygous","Adam2","excitatory.neurons"
"Gm21860",1.80711171960648e-157,0.174385433163355,0.164,0.073,5.83407947557756e-153,"heterozygous","Gm21860","excitatory.neurons"
"Ptprn",1.08784998830493e-156,0.239578887800206,0.951,0.948,3.51201490224363e-152,"heterozygous","Ptprn","excitatory.neurons"
"Ppfia2",3.82916676907917e-155,0.267966953008067,0.976,0.974,1.23620819972952e-150,"heterozygous","Ppfia2","excitatory.neurons"
"Mpc1",2.22098747103885e-154,-0.191703523121601,0.591,0.739,7.17023595150181e-150,"heterozygous","Mpc1","excitatory.neurons"
"Ankrd12",3.00530919867804e-154,-0.196714196982242,0.817,0.895,9.70234021701219e-150,"heterozygous","Ankrd12","excitatory.neurons"
"Mir99ahg",1.55611370636181e-153,0.288120024324616,0.956,0.942,5.02375748961847e-149,"heterozygous","Mir99ahg","excitatory.neurons"
"Gm15398",1.36591474021554e-152,0.602632677234869,0.596,0.514,4.40971914731186e-148,"heterozygous","Gm15398","excitatory.neurons"
"Nsf",2.61322197500816e-152,-0.200124708534217,0.882,0.933,8.43652582411633e-148,"heterozygous","Nsf","excitatory.neurons"
"Lamc1",8.15203499922082e-152,-0.178621649198881,0.354,0.504,2.63180297914845e-147,"heterozygous","Lamc1","excitatory.neurons"
"Coro1c",3.76548045157064e-151,-0.13828983609988,0.202,0.337,1.21564770898507e-146,"heterozygous","Coro1c","excitatory.neurons"
"Tcf20",1.15354272037995e-150,-0.200062554515652,0.831,0.902,3.72409731847462e-146,"heterozygous","Tcf20","excitatory.neurons"
"Asap1",2.28016765745657e-150,0.207246230631951,0.977,0.974,7.36129326533278e-146,"heterozygous","Asap1","excitatory.neurons"
"Gm28175",1.8137875998953e-149,0.368909168421279,0.48,0.377,5.85563188750199e-145,"heterozygous","Gm28175","excitatory.neurons"
"Gm13561",1.33783608155318e-148,0.217883177168002,0.209,0.11,4.3190700056863e-144,"heterozygous","Gm13561","excitatory.neurons"
"Trhde",3.47334436086373e-147,0.410279288230849,0.82,0.78,1.12133449346125e-142,"heterozygous","Trhde","excitatory.neurons"
"Gas7",4.51161093546781e-146,-0.238810619802068,0.813,0.892,1.45652847440643e-141,"heterozygous","Gas7","excitatory.neurons"
"Lzts1",4.74393184020256e-146,-0.201215026843149,0.553,0.696,1.531530955291e-141,"heterozygous","Lzts1","excitatory.neurons"
"Cnksr2",5.85065467579834e-145,0.203631414478018,0.984,0.983,1.88882535553474e-140,"heterozygous","Cnksr2","excitatory.neurons"
"Pantr1",1.77927987984844e-144,0.346810415249751,0.607,0.533,5.74422716410271e-140,"heterozygous","Pantr1","excitatory.neurons"
"Sv2b",2.64675235547923e-144,-0.18996190985648,0.919,0.953,8.54477530442913e-140,"heterozygous","Sv2b","excitatory.neurons"
"Mid1",3.08106341667397e-144,0.198243010591889,0.312,0.199,9.94690513439024e-140,"heterozygous","Mid1","excitatory.neurons"
"Adra1a",1.23286980438982e-143,0.246666481607194,0.307,0.196,3.98019687649208e-139,"heterozygous","Adra1a","excitatory.neurons"
"Tll1",1.31918296158901e-143,0.173332449985733,0.152,0.066,4.25885027319397e-139,"heterozygous","Tll1","excitatory.neurons"
"Mgat5b",4.94069202724527e-142,-0.18107371866428,0.31,0.45,1.59505301407586e-137,"heterozygous","Mgat5b","excitatory.neurons"
"Diaph1",7.76533559392661e-142,-0.173238792325229,0.347,0.493,2.50696094314327e-137,"heterozygous","Diaph1","excitatory.neurons"
"Trim2",8.01437642356656e-142,-0.214808324934769,0.835,0.9,2.58736128458423e-137,"heterozygous","Trim2","excitatory.neurons"
"Slc17a7",1.18998596865569e-141,-0.198658703453473,0.91,0.951,3.84175070120802e-137,"heterozygous","Slc17a7","excitatory.neurons"
"Sntg2",4.52341925970446e-141,-0.20194504700535,0.207,0.332,1.46034067380299e-136,"heterozygous","Sntg2","excitatory.neurons"
"Cbfa2t3",4.7864502750253e-140,-0.136762798530663,0.2,0.329,1.54525760678917e-135,"heterozygous","Cbfa2t3","excitatory.neurons"
"Nrg3",5.46183560324675e-140,-0.11145759908071,0.996,0.996,1.76329900615218e-135,"heterozygous","Nrg3","excitatory.neurons"
"Prkcg",3.98065519196799e-139,-0.260453980879072,0.449,0.576,1.28511472217495e-134,"heterozygous","Prkcg","excitatory.neurons"
"Hes1",5.36844516080766e-139,-0.138812633185559,0.105,0.207,1.73314883571515e-134,"heterozygous","Hes1","excitatory.neurons"
"9530059O14Rik",1.39241684858963e-138,-0.290912443217592,0.749,0.831,4.49527855398675e-134,"heterozygous","9530059O14Rik","excitatory.neurons"
"Cacna1d",1.39696276351207e-138,-0.197474244395275,0.92,0.957,4.50995458572236e-134,"heterozygous","Cacna1d","excitatory.neurons"
"Cpeb1",1.96561792482049e-138,-0.211627953092847,0.624,0.748,6.34580090849047e-134,"heterozygous","Cpeb1","excitatory.neurons"
"Nptx1",3.85748012361586e-138,-0.197440933154404,0.412,0.561,1.24534888310814e-133,"heterozygous","Nptx1","excitatory.neurons"
"Castor2",5.52232257666575e-138,-0.153870079227709,0.342,0.491,1.78282662065077e-133,"heterozygous","Castor2","excitatory.neurons"
"Srcin1",1.58725376920427e-137,-0.189641778823016,0.864,0.926,5.12429006849907e-133,"heterozygous","Srcin1","excitatory.neurons"
"A230004M16Rik",1.13120000833511e-135,0.264777088974918,0.546,0.457,3.65196610690907e-131,"heterozygous","A230004M16Rik","excitatory.neurons"
"Ksr1",1.98364507208076e-135,-0.174704915414862,0.352,0.497,6.40399975070553e-131,"heterozygous","Ksr1","excitatory.neurons"
"Sorcs3",2.38983691662781e-135,0.410351614367341,0.743,0.653,7.71534950164123e-131,"heterozygous","Sorcs3","excitatory.neurons"
"Ripor2",1.04022750714802e-134,-0.233436122973989,0.509,0.642,3.35827048407667e-130,"heterozygous","Ripor2","excitatory.neurons"
"Stxbp5l",2.20188469654299e-134,0.18381462060176,0.982,0.979,7.1085645543194e-130,"heterozygous","Stxbp5l","excitatory.neurons"
"Sbk1",3.56670875775066e-134,-0.104136733249984,0.108,0.212,1.15147625535222e-129,"heterozygous","Sbk1","excitatory.neurons"
"Sept9",8.58874474729239e-134,-0.137330434336833,0.223,0.352,2.77279035421587e-129,"heterozygous","Sept9","excitatory.neurons"
"Grik5",9.81188323665412e-134,-0.197149386240238,0.74,0.842,3.16766838412142e-129,"heterozygous","Grik5","excitatory.neurons"
"Nsg2",1.73109172584666e-133,-0.19433486000744,0.603,0.732,5.58865652772336e-129,"heterozygous","Nsg2","excitatory.neurons"
"Diras2",8.25348386433111e-133,0.259429275478019,0.511,0.408,2.66455473076065e-128,"heterozygous","Diras2","excitatory.neurons"
"Dtnb",8.30744687845348e-133,-0.218448661256086,0.817,0.889,2.68197615023992e-128,"heterozygous","Dtnb","excitatory.neurons"
"Gm42439",1.77876892007996e-132,0.318254869176153,0.662,0.596,5.74257758158613e-128,"heterozygous","Gm42439","excitatory.neurons"
"Man1c1",2.84811883092064e-132,-0.203077484645923,0.332,0.462,9.19486683374421e-128,"heterozygous","Man1c1","excitatory.neurons"
"Mrps6",7.77157654904954e-132,-0.125710076310851,0.206,0.331,2.50897577309515e-127,"heterozygous","Mrps6","excitatory.neurons"
"Fhit",2.15109026753696e-131,-0.239154626297804,0.366,0.496,6.94457981971632e-127,"heterozygous","Fhit","excitatory.neurons"
"Eml5",2.97571288290058e-130,0.212591513702468,0.938,0.937,9.60679147115623e-126,"heterozygous","Eml5","excitatory.neurons"
"Rhobtb2",1.52638681865158e-129,-0.181183563362857,0.535,0.674,4.92778720533475e-125,"heterozygous","Rhobtb2","excitatory.neurons"
"Nuak1",1.85624967352374e-129,-0.175448613389413,0.452,0.598,5.99271644600404e-125,"heterozygous","Nuak1","excitatory.neurons"
"Pdzrn3",1.46383770148169e-128,0.392443393636746,0.738,0.691,4.72585363546349e-124,"heterozygous","Pdzrn3","excitatory.neurons"
"Rapgef2",4.76794340973258e-128,-0.178911676725293,0.893,0.94,1.53928285039807e-123,"heterozygous","Rapgef2","excitatory.neurons"
"Ttc39c",7.25148021596076e-128,-0.126710964411875,0.201,0.323,2.34106787292077e-123,"heterozygous","Ttc39c","excitatory.neurons"
"Dscam",1.29542583418147e-127,-0.188626460244111,0.934,0.962,4.18215276307147e-123,"heterozygous","Dscam","excitatory.neurons"
"Auts2",2.34099843439952e-127,0.216455841056996,0.986,0.981,7.5576793456154e-123,"heterozygous","Auts2","excitatory.neurons"
"Dpf1",3.6480634627667e-127,-0.128066281728267,0.262,0.398,1.1777408083196e-122,"heterozygous","Dpf1","excitatory.neurons"
"Cntnap5a",2.066528910567e-126,-0.388430330700066,0.516,0.631,6.67158193487449e-122,"heterozygous","Cntnap5a","excitatory.neurons"
"Zdhhc14",8.91982869037694e-126,-0.238486372302699,0.742,0.826,2.87967749440129e-121,"heterozygous","Zdhhc14","excitatory.neurons"
"Mbnl2",1.04197932042259e-125,-0.170030376997717,0.947,0.968,3.36392603805228e-121,"heterozygous","Mbnl2","excitatory.neurons"
"Rasal1",1.35307213914889e-125,-0.1678567816267,0.352,0.49,4.36825809402829e-121,"heterozygous","Rasal1","excitatory.neurons"
"Nav2",3.6914277900543e-125,-0.156422036272441,0.975,0.982,1.19174054774113e-120,"heterozygous","Nav2","excitatory.neurons"
"Acot7",3.80659833791061e-125,-0.147996120593883,0.377,0.517,1.22892220741106e-120,"heterozygous","Acot7","excitatory.neurons"
"4930473D10Rik",8.89427825631153e-125,0.284941482823562,0.329,0.229,2.87142879226761e-120,"heterozygous","4930473D10Rik","excitatory.neurons"
"Gng2",9.48452386759689e-125,-0.185927396580948,0.551,0.697,3.06198368541498e-120,"heterozygous","Gng2","excitatory.neurons"
"Gm34237",1.74568305925644e-124,-0.109769214734002,0.127,0.231,5.63576318850348e-120,"heterozygous","Gm34237","excitatory.neurons"
"Rybp",2.89352561982083e-124,-0.140548618243831,0.289,0.423,9.34145811102957e-120,"heterozygous","Rybp","excitatory.neurons"
"Add2",2.99792666756671e-123,-0.181309370166956,0.832,0.901,9.67850645357238e-119,"heterozygous","Add2","excitatory.neurons"
"Adora1",1.17072913951685e-122,-0.152396427134491,0.291,0.423,3.77958195401621e-118,"heterozygous","Adora1","excitatory.neurons"
"Scn3b",5.29718453624279e-122,-0.139285010981597,0.254,0.383,1.71014305568062e-117,"heterozygous","Scn3b","excitatory.neurons"
"Efr3b",1.00949709640453e-120,-0.180623870839469,0.603,0.727,3.25906042603239e-116,"heterozygous","Efr3b","excitatory.neurons"
"Camkk1",3.20651783467942e-120,-0.156215922218027,0.352,0.487,1.0351922177479e-115,"heterozygous","Camkk1","excitatory.neurons"
"Ago2",7.71716917281144e-120,-0.15174645329999,0.417,0.559,2.49141089575045e-115,"heterozygous","Ago2","excitatory.neurons"
"Sez6l",9.95941576893428e-120,-0.17690227928231,0.794,0.87,3.21529778684274e-115,"heterozygous","Sez6l","excitatory.neurons"
"Mef2d",3.0550050726809e-119,-0.159125120454618,0.549,0.688,9.86277837664303e-115,"heterozygous","Mef2d","excitatory.neurons"
"Mbp",6.99994710448874e-119,-0.173250154606273,0.35,0.485,2.25986292321314e-114,"heterozygous","Mbp","excitatory.neurons"
"Nrn1",5.88091786513769e-118,0.29669166992652,0.713,0.677,1.89859552358105e-113,"heterozygous","Nrn1","excitatory.neurons"
"Unc5a",1.06818819147819e-117,-0.150419430635666,0.41,0.553,3.4485387573682e-113,"heterozygous","Unc5a","excitatory.neurons"
"Dgkg",1.19104446193418e-117,-0.221379763582445,0.386,0.515,3.84516794090831e-113,"heterozygous","Dgkg","excitatory.neurons"
"Rab15",1.60842495094778e-117,-0.160018960728785,0.474,0.614,5.19263911163982e-113,"heterozygous","Rab15","excitatory.neurons"
"Fam49a",2.6917907363379e-116,-0.169902038246136,0.711,0.813,8.69017721319328e-112,"heterozygous","Fam49a","excitatory.neurons"
"Lama2",5.62863056901123e-116,0.600319779269418,0.211,0.127,1.81714709289958e-111,"heterozygous","Lama2","excitatory.neurons"
"Sh3gl3",3.99906925626528e-115,-0.161342134702262,0.266,0.39,1.29105951869268e-110,"heterozygous","Sh3gl3","excitatory.neurons"
"Pkig",6.86564796693346e-115,-0.168897314365111,0.595,0.725,2.2165057896448e-110,"heterozygous","Pkig","excitatory.neurons"
"Ptma",1.06475120762883e-113,-0.138647265939936,0.328,0.465,3.4374427987089e-109,"heterozygous","Ptma","excitatory.neurons"
"Ank",2.09296277686675e-113,-0.168746374256386,0.856,0.918,6.75692102883661e-109,"heterozygous","Ank","excitatory.neurons"
"9630014M24Rik",3.11105691178682e-113,0.222782497643385,0.432,0.332,1.00437361340126e-108,"heterozygous","9630014M24Rik","excitatory.neurons"
"Acap2",4.53945744909104e-113,-0.190796842873521,0.898,0.939,1.46551844286455e-108,"heterozygous","Acap2","excitatory.neurons"
"Banp",7.1916427369361e-113,-0.178074337756766,0.615,0.732,2.32174994119245e-108,"heterozygous","Banp","excitatory.neurons"
"Gm49678",9.0753891131787e-113,-0.266527789899265,0.507,0.634,2.92989862129861e-108,"heterozygous","Gm49678","excitatory.neurons"
"Stum",2.58271266992197e-112,-0.190338426601759,0.251,0.362,8.3380295835761e-108,"heterozygous","Stum","excitatory.neurons"
"Traip",4.78186787519518e-112,-0.143113309357983,0.194,0.306,1.54377822482801e-107,"heterozygous","Traip","excitatory.neurons"
"Tgfbr3",8.99278355269033e-112,-0.114003557432948,0.162,0.269,2.90323024215055e-107,"heterozygous","Tgfbr3","excitatory.neurons"
"Rtn1",1.70792621022774e-111,-0.158814815340218,0.945,0.971,5.51386897709923e-107,"heterozygous","Rtn1","excitatory.neurons"
"Scn1a",5.85551483175736e-111,0.227245135800522,0.904,0.899,1.89039440828455e-106,"heterozygous","Scn1a","excitatory.neurons"
"Plxnd1",6.26787895951093e-111,-0.138195899476687,0.2,0.311,2.02352204328851e-106,"heterozygous","Plxnd1","excitatory.neurons"
"Adgra1",9.20806733482428e-111,-0.157838737804273,0.327,0.459,2.97273245837467e-106,"heterozygous","Adgra1","excitatory.neurons"
"Kcnab2",1.4654444602151e-110,-0.137692572841237,0.422,0.558,4.73104089535844e-106,"heterozygous","Kcnab2","excitatory.neurons"
"Tmem38a",1.65158054665471e-110,-0.148359691622102,0.478,0.616,5.33196263682007e-106,"heterozygous","Tmem38a","excitatory.neurons"
"Agap1",2.34743224996659e-110,-0.176532046426467,0.659,0.774,7.57845027579213e-106,"heterozygous","Agap1","excitatory.neurons"
"Rassf3",3.48882342909819e-110,0.186414919583086,0.281,0.188,1.12633175585006e-105,"heterozygous","Rassf3","excitatory.neurons"
"Sesn1",5.27188029854627e-110,-0.173748942905674,0.705,0.805,1.70197383558268e-105,"heterozygous","Sesn1","excitatory.neurons"
"Cdkl5",7.43024013005169e-110,0.229002409609047,0.893,0.891,2.39877872358589e-105,"heterozygous","Cdkl5","excitatory.neurons"
"Prdx6",7.6367743921559e-109,-0.1036420361282,0.194,0.308,2.46545624476361e-104,"heterozygous","Prdx6","excitatory.neurons"
"Crispld1",1.77597964236094e-108,-0.139368529301136,0.083,0.164,5.73357267739805e-104,"heterozygous","Crispld1","excitatory.neurons"
"Maml3",1.96444558257504e-108,0.385197235702016,0.676,0.629,6.34201611878527e-104,"heterozygous","Maml3","excitatory.neurons"
"Kcnd2",3.04408677630277e-108,0.168092947856158,0.995,0.994,9.82752974861588e-104,"heterozygous","Kcnd2","excitatory.neurons"
"Ociad2",3.35033680097524e-108,-0.178181181166065,0.52,0.648,1.08162273282685e-103,"heterozygous","Ociad2","excitatory.neurons"
"Snhg11",4.49961854987061e-108,0.104824261178099,1,1,1.45265685264023e-103,"heterozygous","Snhg11","excitatory.neurons"
"Ski",5.10574763017012e-108,-0.147002093281164,0.515,0.648,1.64833956492412e-103,"heterozygous","Ski","excitatory.neurons"
"Ptms",8.88199428753146e-108,-0.151659220764867,0.482,0.619,2.86746303578666e-103,"heterozygous","Ptms","excitatory.neurons"
"Klf13",1.13206272900611e-107,-0.15031631693916,0.439,0.573,3.65475131432334e-103,"heterozygous","Klf13","excitatory.neurons"
"Sesn3",1.80871757764482e-107,-0.170323912600233,0.503,0.628,5.83926382766855e-103,"heterozygous","Sesn3","excitatory.neurons"
"Hpcal4",3.01752382895943e-107,-0.125273898239891,0.259,0.379,9.74177392941261e-103,"heterozygous","Hpcal4","excitatory.neurons"
"Klhl2",4.42692539467498e-107,0.220138288931314,0.836,0.821,1.42918859441687e-102,"heterozygous","Klhl2","excitatory.neurons"
"Rtn3",6.0388006281759e-107,-0.130312221843019,0.97,0.983,1.94956639480031e-102,"heterozygous","Rtn3","excitatory.neurons"
"Ube2b",1.27809273477843e-106,-0.155525683906824,0.875,0.927,4.1261945849587e-102,"heterozygous","Ube2b","excitatory.neurons"
"Pgm2l1",1.44417995012624e-106,-0.166348840878016,0.591,0.711,4.66239055098757e-102,"heterozygous","Pgm2l1","excitatory.neurons"
"Ubl3",3.59180232324527e-105,-0.141161096965697,0.422,0.555,1.1595774620365e-100,"heterozygous","Ubl3","excitatory.neurons"
"Adamts17",4.31313549864442e-105,-0.158505891289929,0.398,0.527,1.39245266438236e-100,"heterozygous","Adamts17","excitatory.neurons"
"Pde10a",1.50018567652942e-104,0.205481882139322,0.979,0.981,4.84319943810759e-100,"heterozygous","Pde10a","excitatory.neurons"
"Sdk1",2.265906591793e-104,-0.314463601800254,0.466,0.586,7.31525284094453e-100,"heterozygous","Sdk1","excitatory.neurons"
"Pde2a",3.73217050081579e-104,-0.16861874534228,0.749,0.841,1.20489392448337e-99,"heterozygous","Pde2a","excitatory.neurons"
"Zfp407",1.07229233851833e-103,0.213692868960552,0.794,0.775,3.46178858567258e-99,"heterozygous","Zfp407","excitatory.neurons"
"Anxa7",1.13955230726259e-103,-0.110971880156918,0.23,0.346,3.67893066876653e-99,"heterozygous","Anxa7","excitatory.neurons"
"Tcf4",1.18565162423358e-103,0.180089846196631,0.987,0.979,3.8277577036757e-99,"heterozygous","Tcf4","excitatory.neurons"
"Sez6l2",1.61834759021668e-103,-0.154251351752167,0.526,0.654,5.22467336025553e-99,"heterozygous","Sez6l2","excitatory.neurons"
"Wls",3.62001771674317e-103,0.348860728415633,0.356,0.271,1.16868651967337e-98,"heterozygous","Wls","excitatory.neurons"
