"","gene","astrocytes","excitatory_neurons","fibro_cortex","inhibitory_neurons","microglia","mural","oligodendrocytes","opcs"
"14","0610043K17Rik",779.364841534799,738.782216587154,797.876212154799,792.894301311071,382.082598024011,780.949655958787,650.443629168987,742.184562290554
"15","1010001N08Rik",654.837563986695,782.461570960707,629.905088935901,701.176991942183,402.370729509354,322.756661572252,351.092300032154,325.214333742072
"16","1110002J07Rik",718.994744502559,523.496499556138,868.343643651084,626.902283538124,518.368258614574,401.222262665664,540.333463862282,843.620261729666
"17","1110002L01Rik",786.814487335715,745.86764262854,770.269141758999,781.472666478735,408.400157299382,656.494093675205,665.460083743569,313.604906490701
"18","1110004F10Rik",737.208837633459,660.140862688642,705.315685954497,733.232422280723,362.348941426773,596.119061514544,603.590065723998,559.112071698757
"19","1110006O24Rik",1117.38972121075,1165.4257938834,1064.47017593226,1157.92263844946,419.136954256159,225.828160460165,679.870639198138,227.184752821268
"20","1110008P14Rik",937.500434983422,910.38425544013,959.408414317385,948.100426298942,585.819669957477,884.06668523932,854.546147966181,876.757482495194
"21","1110012L19Rik",1158.88067743964,992.943492843991,1001.52799523849,1009.49929112583,742.179849893367,949.51278090208,1060.24979661527,771.536881726989
"22","1110015O18Rik",931.082878297767,907.552934373196,714.807567771417,461.007407340169,372.185306105198,669.404719928931,557.613960124836,491.925967310342
"23","1110017D15Rik",983.69049861976,901.973276381995,862.963681602695,1047.08513472683,482.583165518302,974.025428029702,696.691001304281,716.336214630485
"24","1110019D14Rik",618.90586276949,617.006186363952,633.483533458572,641.084078346989,303.032796281696,569.272501193509,559.672302403203,438.583783551509
"25","1110020A21Rik",970.065840289321,883.215152043487,822.152302869122,661.473655006215,576.100263624377,832.125785918914,750.762305828636,747.863670493986
"26","1110025L11Rik",866.38360928004,972.606615648446,833.650798135965,915.490943353057,479.447703990223,614.432072712927,664.207777198322,619.428217476403
"27","1110028F11Rik",1433.49219224205,1048.4207859738,761.617785243143,837.583615631194,455.66104735654,555.084945762119,874.514689778383,519.785994811311
"28","1110028F18Rik",1345.2266373189,546.832553563588,692.59732445167,925.902892881468,460.258554818132,486.959975736669,537.384285703233,515.421044835795
"29","1110032A03Rik",914.393276735624,851.127622390034,893.247117085063,873.585624902552,496.544011862224,816.231045739811,828.038261141429,835.839407639467
"30","1110032F04Rik",866.946374381846,1406.12325757644,595.775389856235,856.808361420071,522.051471930625,928.414078469055,873.840168515828,796.321142352058
"31","1110038B12Rik",929.324558241913,883.854667291442,925.749418035268,902.5999572522,596.344042294212,850.500473968666,760.29399215761,504.13061473568
"32","1110038F14Rik",909.189204517135,945.904513185686,938.157524309749,947.877602014109,653.724802742489,898.721898305644,881.327999672007,874.949074658413
"33","1110046J04Rik",826.989577756911,799.547156776152,943.217079834915,805.211272188506,482.967571217179,880.190139214941,787.537953612289,870.342588553325
"34","1110051M20Rik",913.365667761015,912.948907341374,902.204124655651,911.77189319413,559.262038869929,852.380239347162,843.328589750938,848.975264335426
"35","1110059E24Rik",731.085292897042,839.448658478906,831.042251387033,826.214309550225,505.490819474949,766.991224189294,651.14782292642,748.694687074769
"36","1110059G10Rik",772.210728931139,690.824411216545,604.533972394076,709.066896780263,280.630112906326,725.351297632537,700.227372821088,495.991334660709
"37","1110065P20Rik",893.809845040078,875.787172720048,891.670666933127,879.539484300617,335.215327184951,697.524909868851,814.325893545868,777.075566243959
"38","1190005I06Rik",1058.6403581103,1044.02556898913,512.889316585322,812.248762209903,503.806906755362,1004.98657652204,972.814065721363,909.895817112337
"39","1190007I07Rik",936.179367183703,885.216073184082,919.609359238512,845.625726361987,456.905669352225,753.208945926444,683.121991091434,851.813079204516
"40","1300002E11Rik",888.780616593766,945.620543540106,854.916199270437,930.961762537355,385.268582595204,805.033152617545,834.173938438642,859.768040689074
"41","1300017J02Rik",779.957027473788,649.372058062751,762.316457749494,649.243799760464,566.656070986716,799.041778523769,791.237244122786,1023.10706340317
"42","1500004A13Rik",862.740157595791,869.760732552335,863.819724170468,870.525258773266,543.311251527217,800.173759524515,713.67795910082,588.530191629156
"43","1500009C09Rik",1059.51197308014,1057.23622047013,1134.49723432602,1121.92117608466,621.628356314924,963.073766672762,834.231007864327,1044.23171775921
"44","1500009L16Rik",962.162881126259,1006.90847683321,1002.39982407298,909.298129816711,491.480024966937,674.801903541588,472.386154652712,617.579760079663
"45","1500011B03Rik",960.883060189207,970.109959278756,937.608786878349,938.140074165947,419.237397438077,899.50414841144,856.826093290621,891.033487788743
"46","1500012K07Rik",515.346818663409,706.643335725655,1089.77373795126,1296.48921892552,395.396386259134,452.42897042948,499.876126080338,458.080143347166
"47","1500015A07Rik",774.144235341908,712.427423746772,301.159447628119,476.451269797374,208.250280339984,416.82920304198,681.317098276515,650.400218024663
"48","1500015L24Rik",801.431155467347,1606.14555289984,809.789845731717,528.100480879839,509.248019551752,755.885289454032,452.182773629176,839.116387446769
"49","1500026H17Rik",732.242491317987,480.326151162448,1232.46945891604,665.055130632645,461.473120672028,708.423361733112,708.822163348792,654.227183990691
"50","1600002D24Rik",1046.11423878962,1010.32342880543,1249.01358136458,796.053644361928,586.036508310753,517.119029003497,726.180308939213,665.107052535004
"51","1600002K03Rik",810.701356863725,1067.20773738715,1058.71180789883,1002.12202793085,726.247093773295,500.336451377202,886.098531259624,979.134132225921
"52","1600010M07Rik",848.139078138792,861.160673099955,810.333496395203,857.018007079456,522.920237096239,781.464677767563,656.256363728984,773.057712118317
"53","1600012H06Rik",887.115114933257,841.931654768632,701.817385420482,719.43684828372,516.473297671157,799.730246504376,666.404495975068,735.790349585969
"54","1600014C10Rik",985.86505473148,912.948413444868,977.549575668972,914.420119286116,687.17081141082,917.784914890575,795.562330059968,686.07319403136
"55","1600014C23Rik",810.147083842019,1547.14035594672,809.439323709346,889.311611847027,634.510662256278,559.526308677952,634.674040973052,564.78758490908
"56","1600019K03Rik",1042.1531883725,1141.12746197867,1010.49832321832,736.744337468957,679.076339803865,797.700175041217,852.984240281683,803.672347964166
"57","1600020E01Rik",861.527985902155,894.632907803807,872.696360947493,905.473054324199,500.597440027272,845.130572258436,825.924823558763,795.856011188547
