"","gene","astrocytes","excitatory_neurons","fibro_cortex","inhibitory_neurons","microglia","mural","oligodendrocytes","opcs"
"146","1700019D03Rik",1004.56993043872,780.743598284951,934.395585883243,723.468195050417,637.675953288658,466.319298400633,334.250264503793,769.29549142783
"147","1700019E08Rik",1031.3671784148,1144.69149886109,811.236910624252,929.490443535494,471.388708664755,465.801902099623,507.399815275261,733.483416751048
"148","1700019G24Rik",689.448167814528,884.349351552786,919.755114118176,612.934133441084,571.83924287195,563.863734198655,502.614579831521,1296.82584341446
"149","1700019N19Rik",1332.21780411182,777.229400393695,440.874369991096,652.862210657732,474.13096662705,471.287743469505,446.925837039619,368.25643677163
"150","1700019P21Rik",976.467405086387,473.513076171546,749.062412831365,1487.00591920002,384.581215554068,376.190891831179,434.46292385407,663.754493314401
"151","1700020A23Rik",803.815165545749,500.190758878998,598.67904886501,821.018372332785,389.82872869754,385.498173884524,355.301666266185,524.229316952143
"152","1700020D05Rik",764.670739635269,833.827341677839,625.302604246605,907.50650818867,486.478000754254,453.970536116947,699.63984093938,524.795810446181
"153","1700020G17Rik",1590.35318598631,480.688748072604,727.504075401688,934.074953437214,383.977460099193,372.976020520364,441.336389787223,651.640873811804
"154","1700020L24Rik",599.109894152064,867.83505020915,938.604163114805,561.36759509393,472.472166090376,465.608045167121,798.703865761579,621.592191181737
"155","1700020M21Rik",888.008583970424,996.653203409086,685.276030301333,793.611474276353,524.276292759795,520.453001104128,487.749069042901,610.667783253173
"156","1700020N01Rik",1116.62897712263,919.516247175696,887.589890233714,700.638940930186,697.578993535658,578.447598973779,999.070204219245,801.459304905518
"157","1700020N15Rik",843.164061304007,959.66036456517,635.519372907124,747.885341161494,416.283050123467,412.512147558568,385.288570648557,556.865125993648
"158","1700020N18Rik",960.645715208644,1069.6356515607,746.663581991672,863.385099995875,591.324708064826,586.334489131517,542.125022746908,665.005214384033
"159","1700021F05Rik",920.579213014081,897.30917884621,812.706875874444,892.672637030088,322.709676068263,325.148546608225,530.897108423618,755.287308329337
"160","1700021F07Rik",874.797423918363,1382.74431539628,673.846241963759,780.401545801766,482.554003291504,478.099511734127,421.976731009188,603.13654658506
"161","1700021N21Rik",717.81307294405,911.391679959632,636.619898745089,731.847249862987,576.447908218108,489.52150548437,572.003381425338,546.740981087478
"162","1700022A22Rik",1592.86706362741,718.030038390169,777.145188826388,874.501571210009,347.951126819996,345.251800991552,382.178532670136,771.31058618275
"163","1700022E09Rik",1028.09186947,1735.4038176787,801.951890062015,921.836414079155,379.527764123513,383.654998962374,381.048837369851,721.39222878567
"164","1700022H01Rik",441.999053555257,870.008160145198,938.106998779369,656.620011718735,371.520125581406,370.951348557742,361.145356486945,420.606810006379
"165","1700022H16Rik",893.835632689608,914.621698138456,904.836823530664,797.018740474992,563.829350910208,489.96120092539,459.514443073008,612.215280394281
"166","1700022I11Rik",760.088204826598,747.894348275421,717.715844766477,537.280344817685,498.459304969828,529.976302483807,539.673148815338,769.108321533207
"167","1700023C21Rik",1072.04958363767,1180.49048453936,848.694436448609,969.230538437981,571.121030519136,561.89030128874,532.904357283099,763.939770258354
"168","1700023F02Rik",483.097175277814,639.375861338488,587.000505058354,845.011091506158,466.005478108496,459.674149814413,490.773839756312,436.071857680258
"169","1700023F06Rik",784.198115567693,931.811016575118,891.64066799847,657.933908886104,546.385309806923,462.577387297444,543.440566157748,668.467832021452
"170","1700024B18Rik",695.313906836681,866.368357771051,724.027905291612,861.164375742587,612.196846258707,658.635795479977,617.349144815974,831.009984913756
"171","1700024G13Rik",852.375853747444,580.810550784351,650.60098371916,758.302071959232,485.551173859317,481.425117323464,447.933941206149,572.114533659978
"172","1700024I08Rik",1085.52691246619,1788.81533343298,1301.22280037632,704.902601971116,440.860068939437,442.79349415817,532.756225283982,763.343714345714
"173","1700024P04Rik",1056.51801556112,1176.33605990566,821.494762997936,948.312399510604,378.791783657302,384.96633057985,500.773139150539,734.797542233601
"174","1700025B11Rik",935.3444079336,1117.21259832463,718.893044786062,576.482947641887,372.078193065873,358.796539865783,431.49492676483,640.390726732077
"175","1700025C18Rik",965.713123527165,1243.30472643814,758.036714631286,1460.65621820166,531.902501010611,524.212393404353,492.109638081215,686.298107429092
"176","1700025F22Rik",1602.57516267673,867.669465190303,768.142123762133,876.644747358662,456.519520457273,449.853866503415,501.424472694262,693.595445197604
"177","1700025F24Rik",860.190373836121,723.960595222172,721.185212273901,831.742736540373,542.931670849341,464.98800266438,416.370974319444,643.765066730271
"178","1700025G04Rik",958.928737143136,895.647608357779,874.564161455664,902.969816015632,582.237220795851,538.757595462223,735.019997644094,867.61467676625
"179","1700025J12Rik",814.470098746835,475.004719693869,585.791924179723,440.461007649859,183.415744936658,180.489461372677,277.140581100622,509.838148463605
"180","1700025K24Rik",1027.92389849296,768.331568653884,798.071202328085,921.723133718845,384.548120228704,385.828000443308,484.523409471895,715.00013162742
