"","p_val","gene","diffexpressed","celltype"
"148",1.3134029114041e-07,"Nkain2","DOWN","inhibitory"
"149",1.40722513519011e-07,"Rab6b","DOWN","inhibitory"
"150",1.42480091267647e-07,"Tcf20","DOWN","inhibitory"
"151",1.44115855909265e-07,"Sphkap","DOWN","inhibitory"
"152",1.68353493926397e-07,"Stxbp6","DOWN","inhibitory"
"153",1.71821761843528e-07,"Plpbp","DOWN","inhibitory"
"154",1.98115145856051e-07,"Klf13","DOWN","inhibitory"
"155",2.17495070310475e-07,"Psma3","DOWN","inhibitory"
"156",2.34702223699296e-07,"Rtn3","DOWN","inhibitory"
"157",2.50562060589331e-07,"Gm32647","DOWN","inhibitory"
"158",2.53444232222708e-07,"Slc1a1","DOWN","inhibitory"
"159",2.79200284530676e-07,"Endod1","DOWN","inhibitory"
"160",2.936458437244e-07,"Sv2a","DOWN","inhibitory"
"161",3.02221275646435e-07,"Tnfaip6","DOWN","inhibitory"
"162",3.13595139210774e-07,"Tet3","DOWN","inhibitory"
"163",3.2749053276611e-07,"Zswim6","DOWN","inhibitory"
"164",3.90027614330723e-07,"Pds5b","DOWN","inhibitory"
"165",4.06117586921652e-07,"2210408I21Rik","DOWN","inhibitory"
"166",4.2273216140356e-07,"Txndc16","DOWN","inhibitory"
"167",4.40189052133278e-07,"Hnrnpa2b1","UP","inhibitory"
"168",4.80170239965714e-07,"1700109K24Rik","UP","inhibitory"
"169",4.95130591413264e-07,"Fhit","DOWN","inhibitory"
"170",5.57218556926788e-07,"Aplp2","DOWN","inhibitory"
"171",5.61382530301665e-07,"Mrtfb","DOWN","inhibitory"
"172",5.91628477130641e-07,"Adamts17","DOWN","inhibitory"
"173",5.93170282591653e-07,"Clip1","DOWN","inhibitory"
"174",6.78308086985955e-07,"Nrg1","DOWN","inhibitory"
"175",6.78333801782624e-07,"Zwint","DOWN","inhibitory"
"176",7.16343132652226e-07,"Psap","DOWN","inhibitory"
"177",7.24051735067456e-07,"Mbnl1","DOWN","inhibitory"
"178",7.262467908117e-07,"Rapgef2","DOWN","inhibitory"
"179",7.30517483375961e-07,"Ptprn","UP","inhibitory"
"180",7.78097399517643e-07,"Psmb2","DOWN","inhibitory"
"181",8.4267422795514e-07,"Traf3","DOWN","inhibitory"
"182",9.06356391653678e-07,"Itprid2","DOWN","inhibitory"
"183",9.165825100159e-07,"Gm36975","UP","inhibitory"
"184",9.28767595607689e-07,"Sv2b","DOWN","inhibitory"
"185",1.01780226120651e-06,"Sltm","DOWN","inhibitory"
"186",1.09231221326563e-06,"Ptpn11","DOWN","inhibitory"
"187",1.36149525788212e-06,"Elmo1","DOWN","inhibitory"
